,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
1130244,Ukraine,Electricity - Own use by gas works,2006,"Kilowatt-hours, million",119.0,,total_electricity
65071,Uganda,Bitumen - Final consumption,2008,"Metric tons,  thousand",2.2879,,bitumen
292359,Neth. Antilles (former),Fuel oil - Final consumption,1993,"Metric tons,  thousand",97.0,1.0,fuel_oil
194400,Myanmar,Crude petroleum - refinery capacity,1992,"Metric tons,  thousand",2808.0,,conventional_crude_oil
449497,Myanmar,Gas Oil/ Diesel Oil - International marine bunkers,2004,"Metric tons,  thousand",3.0,,gas_oil_diesel_oil
246090,Azerbaijan,"Electricity - total net installed capacity of electric power plants, main activity & autoproducer",2001,"Kilowatts,  thousand",5161.0,,electricity_net_installed_capacity_of_electric_power_plants
777293,Canada,Naphtha - Stock changes,2013,"Metric tons,  thousand",41.0,,naphtha
207534,Tunisia,Electricity generating capacity - Solar PV - Total,2013,"Kilowatts,  thousand",7.397,,electricity_net_installed_capacity_of_electric_power_plants
981191,Estonia,Peat - consumption by households,1998,"Metric tons,  thousand",1.0,,peat
968745,Côte d'Ivoire,"Vegetal waste - Transformation in electricity, CHP and heat plants",2014,Terajoules,1478.0,,other_vegetal_material_and_residues
572699,Russian Federation,Industrial Waste - Stock changes,1999,Terajoules,0.0,,industrial_waste
792660,New Zealand,"Natural gas (including LNG) - consumption by manufacturing, construction and non-fuel industry",2008,Terajoules,31895.0,,natural_gas_including_lng
